"REF_DATE","GEO","DGUID","Wages","Type of work","National Occupational Classification (NOC)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in engineering [213]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409233","1.3.3.18.1.1","1028.85","","","","2"
"2022","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in engineering [213]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409233","1.3.3.18.1.1","1076.66","","","","2"
"2023","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in engineering [213]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409233","1.3.3.18.1.1","1009.36","","","","2"
"2018","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Technical occupations related to natural and applied sciences [22]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409245","1.3.3.19.1.1","433.85","","","","2"
"2019","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Technical occupations related to natural and applied sciences [22]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409245","1.3.3.19.1.1","438.65","","","","2"
"2020","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Technical occupations related to natural and applied sciences [22]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409245","1.3.3.19.1.1","472.49","","","","2"
"2021","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Technical occupations related to natural and applied sciences [22]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409245","1.3.3.19.1.1","503.97","","","","2"
"2022","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Technical occupations related to natural and applied sciences [22]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409245","1.3.3.19.1.1","478.00","","","","2"
"2023","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Technical occupations related to natural and applied sciences [22]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409245","1.3.3.19.1.1","479.33","","","","2"
"2018","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Health occupations, except management [31-33]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409257","1.3.3.20.1.1","588.65","","","","2"
"2019","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Health occupations, except management [31-33]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409257","1.3.3.20.1.1","595.33","","","","2"
"2020","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Health occupations, except management [31-33]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409257","1.3.3.20.1.1","602.56","","","","2"
"2021","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Health occupations, except management [31-33]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409257","1.3.3.20.1.1","599.84","","","","2"
"2022","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Health occupations, except management [31-33]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409257","1.3.3.20.1.1","618.52","","","","2"
"2023","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Health occupations, except management [31-33]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409257","1.3.3.20.1.1","665.14","","","","2"
"2018","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in health [31]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409269","1.3.3.21.1.1","791.76","","","","2"
"2019","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in health [31]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409269","1.3.3.21.1.1","834.93","","","","2"
"2020","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in health [31]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409269","1.3.3.21.1.1","845.29","","","","2"
"2021","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in health [31]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409269","1.3.3.21.1.1","845.53","","","","2"
"2022","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in health [31]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409269","1.3.3.21.1.1","837.17","","","","2"
"2023","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in health [31]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409269","1.3.3.21.1.1","896.34","","","","2"
